week_end,google_trends,ticker
2024-12-27,,NVDA
2025-01-03,100.0,NVDA
2025-01-10,,NVDA
2025-01-17,,NVDA
2025-01-24,,NVDA
2025-01-31,,NVDA
2025-02-07,77.0,NVDA
2025-02-14,,NVDA
2025-02-21,,NVDA
2025-02-28,,NVDA
2025-03-07,62.0,NVDA
2025-03-14,,NVDA
2025-03-21,,NVDA
2025-03-28,,NVDA
2025-04-04,71.0,NVDA
2025-04-11,,NVDA
2025-04-18,,NVDA
2025-04-25,,NVDA
2025-05-02,51.0,NVDA
2025-05-09,,NVDA
2025-05-16,,NVDA
2025-05-23,,NVDA
2025-05-30,,NVDA
2025-06-06,41.0,NVDA
2025-06-13,,NVDA
2025-06-20,,NVDA
2025-06-27,,NVDA
2025-07-04,54.0,NVDA
2025-07-11,,NVDA
2025-07-18,,NVDA
2025-07-25,,NVDA
2025-08-01,76.0,NVDA
2025-08-08,,NVDA
2025-08-15,,NVDA
2025-08-22,,NVDA
2025-08-29,,NVDA
2025-09-05,61.0,NVDA
2025-09-12,,NVDA
2025-09-19,,NVDA
2025-09-26,,NVDA
2025-10-03,67.0,NVDA
2025-10-10,,NVDA
2025-10-17,,NVDA
2025-10-24,,NVDA
2025-10-31,,NVDA
2025-11-07,85.0,NVDA
2025-11-14,,NVDA
2025-11-21,,NVDA
2025-11-28,,NVDA
2025-12-05,55.0,NVDA
2025-12-12,,NVDA
2025-12-19,,NVDA
2025-12-26,,NVDA
2026-01-02,45.0,NVDA
2020-01-03,13.0,SPY
2020-01-10,,SPY
2020-01-17,,SPY
2020-01-24,,SPY
2020-01-31,,SPY
2020-02-07,19.0,SPY
2020-02-14,,SPY
2020-02-21,,SPY
2020-02-28,,SPY
2020-03-06,56.0,SPY
2020-03-13,,SPY
2020-03-20,,SPY
2020-03-27,,SPY
2020-04-03,36.0,SPY
2020-04-10,,SPY
2020-04-17,,SPY
2020-04-24,,SPY
2020-05-01,25.0,SPY
2020-05-08,,SPY
2020-05-15,,SPY
2020-05-22,,SPY
2020-05-29,,SPY
2020-06-05,27.0,SPY
2020-06-12,,SPY
